L 803.8682, -2493.3652, 0.0000,  818.9899, -2487.5178, 0.0000,  127, 127, 127
L 793.2954, -2496.7427, 0.0000,  803.8682, -2493.3652, 0.0000,  127, 127, 127
L 785.2190, -2498.5049, 0.0000,  793.2954, -2496.7427, 0.0000,  127, 127, 127
L 776.2446, -2499.1719, 0.0000,  785.2190, -2498.5049, 0.0000,  127, 127, 127
L 776.2446, -2499.1719, 0.0000,  773.1981, -2499.1719, 0.0000,  127, 127, 127
L 772.8164, -2499.1719, 0.0000,  773.7300, -2499.1719, 0.0000,  127, 127, 127
L 772.7528, -2499.1719, 0.0000,  772.8164, -2499.1719, 0.0000,  127, 127, 127
L 772.5620, -2499.2356, 0.0000,  772.7528, -2499.1719, 0.0000,  127, 127, 127
L 772.4348, -2499.2356, 0.0000,  772.5620, -2499.2356, 0.0000,  127, 127, 127
L 772.2440, -2499.2356, 0.0000,  772.4348, -2499.2356, 0.0000,  127, 127, 127
L 772.1167, -2499.2356, 0.0000,  772.2440, -2499.2356, 0.0000,  127, 127, 127
L 771.9259, -2499.2356, 0.0000,  772.1167, -2499.2356, 0.0000,  127, 127, 127
L 771.7987, -2499.2356, 0.0000,  771.9259, -2499.2356, 0.0000,  127, 127, 127
L 771.6715, -2499.2356, 0.0000,  771.7987, -2499.2356, 0.0000,  127, 127, 127
L 771.5443, -2499.2356, 0.0000,  771.6715, -2499.2356, 0.0000,  127, 127, 127
L 771.4171, -2499.2356, 0.0000,  771.5443, -2499.2356, 0.0000,  127, 127, 127
L 771.3535, -2499.2356, 0.0000,  771.4171, -2499.2356, 0.0000,  127, 127, 127
L 771.2262, -2499.2356, 0.0000,  771.3535, -2499.2356, 0.0000,  0, 0, 0
L 771.3540, -2499.2356, 0.0000,  771.2262, -2499.2356, 0.0000,  0, 0, 0
L 770.9718, -2499.2356, 0.0000,  771.3540, -2499.2356, 0.0000,  127, 127, 127
L 770.7810, -2499.2356, 0.0000,  770.9718, -2499.2356, 0.0000,  127, 127, 127
L 770.6538, -2499.2356, 0.0000,  770.7810, -2499.2356, 0.0000,  127, 127, 127
L 770.5902, -2499.2356, 0.0000,  770.6538, -2499.2356, 0.0000,  127, 127, 127
L 770.3993, -2499.2356, 0.0000,  770.5902, -2499.2356, 0.0000,  127, 127, 127
L 770.2721, -2499.2356, 0.0000,  770.3993, -2499.2356, 0.0000,  127, 127, 127
L 770.1449, -2499.2356, 0.0000,  770.2721, -2499.2356, 0.0000,  127, 127, 127
L 769.9541, -2499.2356, 0.0000,  770.1449, -2499.2356, 0.0000,  127, 127, 127
L 769.8269, -2499.2356, 0.0000,  769.9541, -2499.2356, 0.0000,  127, 127, 127
L 769.6996, -2499.2356, 0.0000,  769.8269, -2499.2356, 0.0000,  127, 127, 127
L 769.5088, -2499.2356, 0.0000,  769.6996, -2499.2356, 0.0000,  127, 127, 127
L 769.3816, -2499.2356, 0.0000,  769.5088, -2499.2356, 0.0000,  0, 0, 0
L 769.1908, -2499.2356, 0.0000,  769.3816, -2499.2356, 0.0000,  0, 0, 0
L 769.6360, -2499.2356, 0.0000,  769.1908, -2499.2356, 0.0000,  0, 0, 0
L 768.9363, -2499.2356, 0.0000,  769.6360, -2499.2356, 0.0000,  127, 127, 127
L 768.8091, -2499.2356, 0.0000,  768.9363, -2499.2356, 0.0000,  127, 127, 127
L 768.6183, -2499.2356, 0.0000,  768.8091, -2499.2356, 0.0000,  127, 127, 127
L 768.4275, -2499.2356, 0.0000,  768.6183, -2499.2356, 0.0000,  127, 127, 127
L 768.2367, -2499.2356, 0.0000,  768.4275, -2499.2356, 0.0000,  127, 127, 127
L 768.1094, -2499.2356, 0.0000,  768.2367, -2499.2356, 0.0000,  127, 127, 127
L 767.9186, -2499.2356, 0.0000,  768.1094, -2499.2356, 0.0000,  127, 127, 127
L 767.7914, -2499.2356, 0.0000,  767.9186, -2499.2356, 0.0000,  127, 127, 127
L 767.6006, -2499.2356, 0.0000,  767.7914, -2499.2356, 0.0000,  127, 127, 127
L 767.4734, -2499.2356, 0.0000,  767.6006, -2499.2356, 0.0000,  127, 127, 127
L 767.2825, -2499.2356, 0.0000,  767.4734, -2499.2356, 0.0000,  127, 127, 127
L 767.1553, -2499.2356, 0.0000,  767.2825, -2499.2356, 0.0000,  0, 0, 0
L 767.2810, -2499.2356, 0.0000,  767.1553, -2499.2356, 0.0000,  0, 0, 0
L 766.8373, -2499.2356, 0.0000,  767.2810, -2499.2356, 0.0000,  127, 127, 127
L 766.6464, -2499.2356, 0.0000,  766.8373, -2499.2356, 0.0000,  127, 127, 127
L 766.5828, -2499.2356, 0.0000,  766.6464, -2499.2356, 0.0000,  127, 127, 127
L 766.3920, -2499.2356, 0.0000,  766.5828, -2499.2356, 0.0000,  127, 127, 127
L 766.2648, -2499.2356, 0.0000,  766.3920, -2499.2356, 0.0000,  127, 127, 127
L 766.1376, -2499.2356, 0.0000,  766.2648, -2499.2356, 0.0000,  127, 127, 127
L 766.1040, -2499.2356, 0.0000,  766.1376, -2499.2356, 0.0000,  127, 127, 127
L 765.8832, -2499.2356, 0.0000,  766.1040, -2499.2356, 0.0000,  127, 127, 127
L 765.6923, -2499.2356, 0.0000,  765.8832, -2499.2356, 0.0000,  127, 127, 127
L 765.5651, -2499.2356, 0.0000,  765.6923, -2499.2356, 0.0000,  127, 127, 127
L 765.5015, -2499.1719, 0.0000,  765.5651, -2499.2356, 0.0000,  127, 127, 127
L 765.3743, -2499.1719, 0.0000,  765.5015, -2499.1719, 0.0000,  127, 127, 127
L 765.2471, -2499.1719, 0.0000,  765.3743, -2499.1719, 0.0000,  127, 127, 127
L 765.1199, -2499.1719, 0.0000,  765.2471, -2499.1719, 0.0000,  127, 127, 127
L 764.7375, -2498.9812, 0.0000,  765.1199, -2499.1719, 0.0000,  127, 127, 127
L 762.7664, -2498.9812, 0.0000,  764.7375, -2498.9812, 0.0000,  127, 127, 127
L 762.7027, -2498.9812, 0.0000,  762.7664, -2498.9812, 0.0000,  127, 127, 127
L 762.6391, -2498.9812, 0.0000,  762.7027, -2498.9812, 0.0000,  127, 127, 127
L 762.5119, -2498.9812, 0.0000,  762.6391, -2498.9812, 0.0000,  127, 127, 127
L 762.3847, -2498.9812, 0.0000,  762.5119, -2498.9812, 0.0000,  127, 127, 127
L 762.2575, -2498.9812, 0.0000,  762.3847, -2498.9812, 0.0000,  127, 127, 127
L 762.1939, -2498.9175, 0.0000,  762.2575, -2498.9812, 0.0000,  127, 127, 127
L 762.1303, -2498.9175, 0.0000,  762.1939, -2498.9175, 0.0000,  127, 127, 127
L 761.9394, -2498.9175, 0.0000,  762.1303, -2498.9175, 0.0000,  127, 127, 127
L 761.8122, -2498.9175, 0.0000,  761.9394, -2498.9175, 0.0000,  127, 127, 127
